Subscribers,Delay (ms)
4 Subscribers,644.84
4 Subscribers,644.43
4 Subscribers,644.09
4 Subscribers,643.71
4 Subscribers,643.49
4 Subscribers,643.35
4 Subscribers,643.23
4 Subscribers,643.15
4 Subscribers,643.07
4 Subscribers,642.27
4 Subscribers,642.05
4 Subscribers,641.76
4 Subscribers,641.13
4 Subscribers,640.33
4 Subscribers,639.60
4 Subscribers,638.26
4 Subscribers,637.30
4 Subscribers,635.79
4 Subscribers,635.75
4 Subscribers,635.57
4 Subscribers,634.92
4 Subscribers,633.36
4 Subscribers,633.00
4 Subscribers,633.00
4 Subscribers,632.47
4 Subscribers,632.37
4 Subscribers,631.33
4 Subscribers,631.28
4 Subscribers,631.12
4 Subscribers,629.21
4 Subscribers,628.37
4 Subscribers,627.62
4 Subscribers,624.81
4 Subscribers,624.38
4 Subscribers,623.87
4 Subscribers,623.42
4 Subscribers,622.21
4 Subscribers,621.31
4 Subscribers,621.27
4 Subscribers,620.96
4 Subscribers,620.71
4 Subscribers,620.51
4 Subscribers,619.33
4 Subscribers,618.77
4 Subscribers,618.53
4 Subscribers,617.44
4 Subscribers,616.60
4 Subscribers,616.39
4 Subscribers,614.61
4 Subscribers,614.56
4 Subscribers,613.71
4 Subscribers,613.38
4 Subscribers,613.13
4 Subscribers,613.11
4 Subscribers,612.49
4 Subscribers,612.34
4 Subscribers,612.09
4 Subscribers,611.66
4 Subscribers,611.46
4 Subscribers,611.32
4 Subscribers,611.05
4 Subscribers,610.53
4 Subscribers,610.33
4 Subscribers,609.44
4 Subscribers,609.43
4 Subscribers,609.17
4 Subscribers,608.78
4 Subscribers,608.69
4 Subscribers,608.23
4 Subscribers,607.78
4 Subscribers,607.58
4 Subscribers,606.77
4 Subscribers,606.20
4 Subscribers,605.69
4 Subscribers,604.75
4 Subscribers,604.53
4 Subscribers,604.24
4 Subscribers,604.08
4 Subscribers,603.68
4 Subscribers,603.54
4 Subscribers,603.15
4 Subscribers,603.12
4 Subscribers,602.80
4 Subscribers,602.27
4 Subscribers,602.27
4 Subscribers,601.41
4 Subscribers,600.58
4 Subscribers,600.27
4 Subscribers,599.77
4 Subscribers,599.59
4 Subscribers,599.48
4 Subscribers,599.21
4 Subscribers,599.19
4 Subscribers,599.15
4 Subscribers,597.63
4 Subscribers,597.37
4 Subscribers,597.14
4 Subscribers,596.13
4 Subscribers,595.15
4 Subscribers,594.36
4 Subscribers,593.55
4 Subscribers,593.38
4 Subscribers,592.83
4 Subscribers,592.63
4 Subscribers,592.57
4 Subscribers,590.76
4 Subscribers,590.68
4 Subscribers,590.14
4 Subscribers,590.01
4 Subscribers,589.52
4 Subscribers,588.11
4 Subscribers,588.03
4 Subscribers,587.57
4 Subscribers,587.08
4 Subscribers,586.66
4 Subscribers,586.56
4 Subscribers,585.64
4 Subscribers,585.07
4 Subscribers,584.27
4 Subscribers,584.11
4 Subscribers,583.88
4 Subscribers,583.23
4 Subscribers,583.11
4 Subscribers,582.99
4 Subscribers,582.69
4 Subscribers,582.41
4 Subscribers,581.38
4 Subscribers,580.49
4 Subscribers,580.02
4 Subscribers,579.32
4 Subscribers,579.01
4 Subscribers,578.84
4 Subscribers,578.21
4 Subscribers,577.87
4 Subscribers,577.58
4 Subscribers,577.29
4 Subscribers,576.74
