Subscribers, Delay (ms)
6 Subscribers,77.50
6 Subscribers,78.54
6 Subscribers,82.01
6 Subscribers,57.25
6 Subscribers,73.18
6 Subscribers,84.11
6 Subscribers,85.33
6 Subscribers,85.93
6 Subscribers,92.91
6 Subscribers,48.77
6 Subscribers,51.04
6 Subscribers,53.36
6 Subscribers,80.35
6 Subscribers,81.21
6 Subscribers,85.85
6 Subscribers,50.93
6 Subscribers,52.80
6 Subscribers,55.99
6 Subscribers,71.71
6 Subscribers,81.64
6 Subscribers,88.38
6 Subscribers,48.67
6 Subscribers,50.49
6 Subscribers,50.91
6 Subscribers,52.62
6 Subscribers,61.30
6 Subscribers,71.22
6 Subscribers,50.66
6 Subscribers,53.83
6 Subscribers,54.03
6 Subscribers,66.19
6 Subscribers,68.48
6 Subscribers,76.06
6 Subscribers,59.63
6 Subscribers,60.87
6 Subscribers,65.56
6 Subscribers,75.64
6 Subscribers,80.07
6 Subscribers,92.47
6 Subscribers,60.68
6 Subscribers,60.90
6 Subscribers,78.88
6 Subscribers,93.71
6 Subscribers,111.94
6 Subscribers,118.62
6 Subscribers,59.08
6 Subscribers,59.43
6 Subscribers,77.28
6 Subscribers,80.67
6 Subscribers,85.22
6 Subscribers,93.96
6 Subscribers,47.32
6 Subscribers,49.94
6 Subscribers,68.16
6 Subscribers,79.62
6 Subscribers,81.32
6 Subscribers,91.93
6 Subscribers,51.39
6 Subscribers,51.85
6 Subscribers,53.61
6 Subscribers,85.13
6 Subscribers,86.63
6 Subscribers,89.30
6 Subscribers,50.10
6 Subscribers,51.07
6 Subscribers,53.50
6 Subscribers,81.44
6 Subscribers,83.88
6 Subscribers,85.43
6 Subscribers,44.82
6 Subscribers,50.79
6 Subscribers,50.87
6 Subscribers,74.17
6 Subscribers,83.78
6 Subscribers,92.14
6 Subscribers,44.43
6 Subscribers,55.47
6 Subscribers,62.10
6 Subscribers,82.19
6 Subscribers,83.53
6 Subscribers,89.29
6 Subscribers,44.46
6 Subscribers,51.38
6 Subscribers,58.45
6 Subscribers,70.02
6 Subscribers,74.94
6 Subscribers,90.25
6 Subscribers,50.78
6 Subscribers,74.82
6 Subscribers,80.24
6 Subscribers,88.10
6 Subscribers,96.18
6 Subscribers,96.87
6 Subscribers,49.93
6 Subscribers,50.72
6 Subscribers,52.22
6 Subscribers,66.29
6 Subscribers,68.55
6 Subscribers,82.41
6 Subscribers,74.65
6 Subscribers,78.35
6 Subscribers,79.77
6 Subscribers,81.43
6 Subscribers,88.13
6 Subscribers,91.70
6 Subscribers,45.98
6 Subscribers,53.79
6 Subscribers,54.13
6 Subscribers,63.44
6 Subscribers,70.00
6 Subscribers,75.40
6 Subscribers,56.01
6 Subscribers,56.34
6 Subscribers,73.33
6 Subscribers,89.32
6 Subscribers,91.39
6 Subscribers,92.48
6 Subscribers,59.53
6 Subscribers,69.83
6 Subscribers,75.53
6 Subscribers,84.03
6 Subscribers,88.62
6 Subscribers,95.33
6 Subscribers,48.88
6 Subscribers,49.01
6 Subscribers,65.67
6 Subscribers,74.44
6 Subscribers,80.65
6 Subscribers,80.81
6 Subscribers,57.67
6 Subscribers,71.94
6 Subscribers,74.63
6 Subscribers,79.64
6 Subscribers,82.64
6 Subscribers,88.72
6 Subscribers,49.80
6 Subscribers,62.56
6 Subscribers,68.22
6 Subscribers,76.48
6 Subscribers,85.11
6 Subscribers,88.90
6 Subscribers,50.43
6 Subscribers,50.70
6 Subscribers,53.67
6 Subscribers,73.72
6 Subscribers,78.75
6 Subscribers,82.50
6 Subscribers,50.72
6 Subscribers,55.84
6 Subscribers,63.90
6 Subscribers,72.19
6 Subscribers,78.74
6 Subscribers,86.67
6 Subscribers,45.71
6 Subscribers,51.45
6 Subscribers,51.51
6 Subscribers,57.83
6 Subscribers,74.05
6 Subscribers,85.31
6 Subscribers,47.13
6 Subscribers,65.06
6 Subscribers,68.31
6 Subscribers,70.73
6 Subscribers,87.92
6 Subscribers,94.93
6 Subscribers,50.66
6 Subscribers,51.25
6 Subscribers,72.16
6 Subscribers,74.59
6 Subscribers,75.09
6 Subscribers,81.55
6 Subscribers,50.40
6 Subscribers,50.83
6 Subscribers,55.89
6 Subscribers,74.05
6 Subscribers,77.67
6 Subscribers,89.24
6 Subscribers,47.43
6 Subscribers,50.58
6 Subscribers,71.89
6 Subscribers,72.10
6 Subscribers,78.91
6 Subscribers,93.46
6 Subscribers,47.11
6 Subscribers,58.73
6 Subscribers,65.59
6 Subscribers,81.00
6 Subscribers,84.33
6 Subscribers,86.85
6 Subscribers,57.36
6 Subscribers,79.83
6 Subscribers,85.89
6 Subscribers,87.62
6 Subscribers,94.47
6 Subscribers,97.98
6 Subscribers,60.86
6 Subscribers,61.66
6 Subscribers,61.75
6 Subscribers,66.62
6 Subscribers,93.31
6 Subscribers,101.72
6 Subscribers,51.59
6 Subscribers,55.13
6 Subscribers,60.33
6 Subscribers,60.56
6 Subscribers,65.97
6 Subscribers,81.29
6 Subscribers,50.75
6 Subscribers,51.00
